id,year,name,state,district,votes,parties
2006_AL_01,2006,"Bonner, Jo",AL,01,112944,Republican
2006_AL_01,2006,"Beckerle, Vivian Sheffield",AL,01,52770,Democratic
2006_AL_02,2006,"Everett, Terry",AL,02,124302,Republican
2006_AL_02,2006,"James, Charles (Chuck) Dean",AL,02,54450,Democratic
2006_AL_03,2006,"Rogers, Mike",AL,03,98257,Republican
2006_AL_03,2006,"Pierce, Greg A.",AL,03,63559,Democratic
2006_AL_03,2006,"Layfield, Mark Edwin",AL,03,3414,Independent
2006_AL_04,2006,"Aderholt, Robert B.",AL,04,128484,Republican
2006_AL_04,2006,"Bobo, Barbara",AL,04,54382,Democratic
2006_AL_05,2006,"Cramer, Bud",AL,05,143015,Democratic
2006_AL_06,2006,"Bachus, Spencer",AL,06,163514,Republican
2006_AL_07,2006,"Davis, Artur",AL,07,133870,Democratic
2006_AK_00,2006,"Young, Don E.",AK,00,132743,Republican
2006_AK_00,2006,"Benson, Diane E.",AK,00,93879,Democratic
2006_AK_00,2006,"Crawford, Alexander",AK,00,4029,Libertarian
2006_AK_00,2006,"Ince, Eva L.",AK,00,1819,Green
2006_AK_00,2006,"Ratigan, William W. ""Bill""",AK,00,1615,Impeach Now
2006_AZ_S,2006,"Kyl, Jon",AZ,S,814398,Republican
2006_AZ_S,2006,"Pederson, Jim",AZ,S,664141,Democratic
2006_AZ_S,2006,"Mack, Richard",AZ,S,48231,Libertarian
2006_AZ_S,2006,"Baker, Stephen the Penny Man",AZ,S,7,Write-In
2006_AZ_S,2006,"Caplette, Ray",AZ,S,5,Write-In
2006_AZ_01,2006,"Renzi, Rick",AZ,01,105646,Republican
2006_AZ_01,2006,"Simon, Ellen",AZ,01,88691,Democratic
2006_AZ_01,2006,"Schlosser, David",AZ,01,9802,Libertarian
2006_AZ_02,2006,"Franks, Trent",AZ,02,135150,Republican
2006_AZ_02,2006,"Thrasher, John",AZ,02,89671,Democratic
2006_AZ_02,2006,"Gammill, Powell",AZ,02,5734,Libertarian
2006_AZ_02,2006,"Crum, William",AZ,02,5,Write-In
2006_AZ_03,2006,"Shadegg, John",AZ,03,112519,Republican
2006_AZ_03,2006,"Paine, Herb",AZ,03,72586,Democratic
2006_AZ_03,2006,"Yannone, Mark",AZ,03,4744,Libertarian
2006_AZ_04,2006,"Pastor, Ed",AZ,04,56464,Democratic
2006_AZ_04,2006,"Karg, Don",AZ,04,18627,Republican
2006_AZ_04,2006,"Harders, Ronald",AZ,04,2770,"Write-In,Libertarian,Libertarian"
2006_AZ_05,2006,"Mitchell, Harry",AZ,05,101838,Democratic
2006_AZ_05,2006,"Hayworth, J.D.",AZ,05,93815,Republican
2006_AZ_05,2006,"Severin, Warren",AZ,05,6357,Libertarian
2006_AZ_06,2006,"Flake, Jeff",AZ,06,152201,Republican
2006_AZ_06,2006,"Blair, Jason M.",AZ,06,51285,"Write-In,Libertarian,Libertarian"
2006_AZ_07,2006,"Grijalva, Raul",AZ,07,80354,Democratic
2006_AZ_07,2006,"Drake, Ron",AZ,07,46498,Republican
2006_AZ_07,2006,"Cobb, Joe",AZ,07,4673,"Write-In,Libertarian,Libertarian"
2006_AZ_08,2006,"Giffords, Gabrielle",AZ,08,137655,Democratic
2006_AZ_08,2006,"Graf, Randy",AZ,08,106790,Republican
2006_AZ_08,2006,"Nolan, David F.",AZ,08,4849,Libertarian
2006_AZ_08,2006,"Quick, Jay",AZ,08,4408,Independent
2006_AZ_08,2006,"Dove, Russ",AZ,08,7,Write-In
2006_AZ_08,2006,"Price, Paul",AZ,08,7,Write-In
2006_AZ_08,2006,"Kimminau, Leo F., Sr.",AZ,08,4,Write-In
2006_AR_01,2006,"Berry, Marion",AR,01,127577,Democratic
2006_AR_01,2006,"Stumbaugh, Mickey ""Stubby""",AR,01,56611,Republican
2006_AR_02,2006,"Snyder, Vic",AR,02,124871,Democratic
2006_AR_02,2006,"Mayberry, Andy",AR,02,81432,Republican
2006_AR_03,2006,"Boozman, John",AR,03,125039,Republican
2006_AR_03,2006,"Anderson, Woodrow",AR,03,75885,Democratic
2006_AR_04,2006,"Ross, Mike",AR,04,128236,Democratic
2006_AR_04,2006,"Ross, Joe",AR,04,43360,Republican
2006_CA_S,2006,"Feinstein, Dianne",CA,S,5076289,Democratic
2006_CA_S,2006,"Mountjoy, Richard ""Dick""",CA,S,2990822,Republican
2006_CA_S,2006,"Chretien, Todd",CA,S,147074,Green
2006_CA_S,2006,"Mesplay, Kent P.",CA,S,160,"Green,Write-In"
2006_CA_S,2006,"Metti, Michael S.",CA,S,133851,Libertarian
2006_CA_S,2006,"Feinland, Marsha",CA,S,117764,Peace and Freedom
2006_CA_S,2006,"Grundmann, Don J.",CA,S,75350,American Independent
2006_CA_S,2006,"Mackler, Jeffrey",CA,S,108,Write-In
2006_CA_S,2006,"Sherman, Lea",CA,S,47,Write-In
2006_CA_S,2006,"Vlakancic, Connor",CA,S,11,Write-In
2006_CA_01,2006,"Thompson, Mike",CA,01,144409,Democratic
2006_CA_01,2006,"Jones, John W.",CA,01,63194,Republican
2006_CA_01,2006,"Elizondo, Pamela",CA,01,6899,Green
2006_CA_01,2006,"Stock, Timothy J.",CA,01,3503,Peace and Freedom
2006_CA_01,2006,"Wolman, Carol",CA,01,39,Write-In
2006_CA_02,2006,"Herger, Wally",CA,02,134911,Republican
2006_CA_02,2006,"Sekhon, A. J.",CA,02,68234,Democratic
2006_CA_02,2006,"Hinesley, E. Kent",CA,02,7057,Libertarian
2006_CA_03,2006,"Lungren, Dan",CA,03,135709,Republican
2006_CA_03,2006,"Durston, Bill",CA,03,86318,Democratic
2006_CA_03,2006,"Tuma, Douglas Arthur",CA,03,3772,Libertarian
2006_CA_03,2006,"Roskey, Michael",CA,03,2370,Peace and Freedom
2006_CA_04,2006,"Doolittle, John T.",CA,04,135818,Republican
2006_CA_04,2006,"Brown, Charlie",CA,04,126999,Democratic
2006_CA_04,2006,"Warren, Dan",CA,04,14076,Libertarian
2006_CA_05,2006,"Matsui, Doris O.",CA,05,105676,Democratic
2006_CA_05,2006,"Yan, Claire",CA,05,35106,Republican
2006_CA_05,2006,"Kravitz, Jeff",CA,05,6466,Green
2006_CA_05,2006,"Reiger, John C.",CA,05,2018,Peace and Freedom
2006_CA_06,2006,"Woolsey, Lynn",CA,06,173190,Democratic
2006_CA_06,2006,"Hooper, Todd",CA,06,64405,Republican
2006_CA_06,2006,"Halliwell, Mike",CA,06,5,"Republican,Write-In"
2006_CA_06,2006,"Friesen, Richard W.",CA,06,9028,Libertarian
2006_CA_07,2006,"Miller, George",CA,07,118000,Democratic
2006_CA_07,2006,"McConnell, Camden",CA,07,22486,Libertarian
2006_CA_08,2006,"Pelosi, Nancy",CA,08,148435,Democratic
2006_CA_08,2006,"DeNunzio, Mike",CA,08,19800,Republican
2006_CA_08,2006,"Keefer, Krissy",CA,08,13653,Green
2006_CA_08,2006,"Berg, Philip Zimt",CA,08,2751,Libertarian
2006_CA_09,2006,"Lee, Barbara",CA,09,167245,Democratic
2006_CA_09,2006,"den Dulk, John ""J.D.""",CA,09,20786,Republican
2006_CA_09,2006,"Eyer, James",CA,09,5655,Libertarian
2006_CA_10,2006,"Tauscher, Ellen O.",CA,10,130859,Democratic
2006_CA_10,2006,"Linn, Darcy",CA,10,66069,Republican
2006_CA_10,2006,"Ketelson, Jeff",CA,10,50,Write-In
2006_CA_11,2006,"McNerney, Jerry",CA,11,109868,Democratic
2006_CA_11,2006,"Pombo, Richard W.",CA,11,96396,Republican
2006_CA_12,2006,"Lantos, Tom",CA,12,138650,Democratic
2006_CA_12,2006,"Moloney, Mike",CA,12,43674,Republican
2006_CA_13,2006,"Stark, Fortney Pete",CA,13,110756,Democratic
2006_CA_13,2006,"Bruno, George I.",CA,13,37141,Republican
2006_CA_14,2006,"Eshoo, Anna G.",CA,14,141153,Democratic
2006_CA_14,2006,"Smith, Rob",CA,14,48097,Republican
2006_CA_14,2006,"Holtz, Brian",CA,14,4692,Libertarian
2006_CA_14,2006,"Brouillet, Carol",CA,14,4633,Green
2006_CA_15,2006,"Honda, Mike",CA,15,115532,Democratic
2006_CA_15,2006,"Chukwu, Raymond L.",CA,15,44186,Republican
2006_CA_16,2006,"Lofgren, Zoe",CA,16,98929,Democratic
2006_CA_16,2006,"Winston, Charel",CA,16,37130,Republican
2006_CA_17,2006,"Farr, Sam",CA,17,120750,Democratic
2006_CA_17,2006,"De Maio, Anthony R.",CA,17,35932,Republican
2006_CA_17,2006,"Taylor, Jeff Edward",CA,17,2611,Write-In
2006_CA_18,2006,"Cardoza, Dennis A.",CA,18,71182,Democratic
2006_CA_18,2006,"Kanno, John A.",CA,18,37531,Republican
2006_CA_19,2006,"Radanovich, George P.",CA,19,110246,Republican
2006_CA_19,2006,"Cox, T. J.",CA,19,71748,Democratic
2006_CA_20,2006,"Costa, Jim",CA,20,61120,Democratic
2006_CA_21,2006,"Nunes, Devin G.",CA,21,95214,Republican
2006_CA_21,2006,"Haze, Steven",CA,21,42718,Democratic
2006_CA_21,2006,"Miller, John Roger",CA,21,4729,Green
2006_CA_22,2006,"McCarthy, Kevin",CA,22,133278,Republican
2006_CA_22,2006,"Beery, Sharon",CA,22,55226,Democratic
2006_CA_23,2006,"Capps, Lois",CA,23,114661,Democratic
2006_CA_23,2006,"Tognazzini, Victor D.",CA,23,61272,Republican
2006_CA_23,2006,"Gardner, H. A., Jr.",CA,23,18,Write-In
2006_CA_24,2006,"Gallegy, Elton",CA,24,129812,Republican
2006_CA_24,2006,"Martinez, Jill M.",CA,24,79461,Democratic
2006_CA_24,2006,"Stettler, Michael Kurt",CA,24,16,Write-In
2006_CA_24,2006,"Nicolle, Henry",CA,24,3,Write-In
2006_CA_25,2006,"McKeon, Howard P. ""Buck""",CA,25,93987,Republican
2006_CA_25,2006,"Rodriguez, Robert",CA,25,55913,Democratic
2006_CA_25,2006,"Erickson, David W.",CA,25,6873,Libertarian
2006_CA_26,2006,"Dreier, David",CA,26,102028,Republican
2006_CA_26,2006,"Matthews, Cynthia Rodriguez",CA,26,67878,Democratic
2006_CA_26,2006,"Brown, Ted",CA,26,5887,Libertarian
2006_CA_26,2006,"Graham, Elliot",CA,26,3351,American Independent
2006_CA_27,2006,"Sherman, Brad",CA,27,92650,Democratic
2006_CA_27,2006,"Hankwitz, Peter",CA,27,42074,Republican
2006_CA_28,2006,"Berman, Howard L.",CA,28,79866,Democratic
2006_CA_28,2006,"Kesselman, Stanley Kimmel",CA,28,20629,Republican
2006_CA_28,2006,"De Lear, Byron",CA,28,3868,Green
2006_CA_28,2006,"Ross, Kelley L.",CA,28,3679,Libertarian
2006_CA_29,2006,"Schiff, Adam",CA,29,91014,Democratic
2006_CA_29,2006,"Bodell, William J.",CA,29,39321,Republican
2006_CA_29,2006,"Paparian, William M.",CA,29,8197,Green
2006_CA_29,2006,"Llamas, Lynda L.",CA,29,2599,Peace and Freedom
2006_CA_29,2006,"Keller, Jim",CA,29,2258,Libertarian
2006_CA_29,2006,"Burton, John",CA,29,15,Write-In
2006_CA_30,2006,"Waxman, Henry A.",CA,30,151284,Democratic
2006_CA_30,2006,"Jones, David Nelson",CA,30,55904,Republican
2006_CA_30,2006,"Cannon, Adele M.",CA,30,4546,Peace and Freedom
2006_CA_31,2006,"Becerra, Xavier",CA,31,64952,Democratic
2006_CA_32,2006,"Solis, Hilda L.",CA,32,76059,Democratic
2006_CA_32,2006,"Faegre, Leland",CA,32,15627,Libertarian
2006_CA_33,2006,"Watson, Diane E.",CA,33,113715,Democratic
2006_CA_34,2006,"Roybal-Allard, Lucille",CA,34,57459,Democratic
2006_CA_34,2006,"Miller, Wayne",CA,34,17359,Republican
2006_CA_34,2006,"Crane, Naomi",CA,34,1,Write-In
2006_CA_35,2006,"Waters, Maxine",CA,35,82498,Democratic
2006_CA_35,2006,"Mego, Gordon Michael",CA,35,8343,American Independent
2006_CA_35,2006,"Ireland, Paul T.",CA,35,7665,Libertarian
2006_CA_36,2006,"Harman, Jane",CA,36,105323,Democratic
2006_CA_36,2006,"Gibson, Brian",CA,36,53068,Republican
2006_CA_36,2006,"Smith, James R.",CA,36,4592,Peace and Freedom
2006_CA_36,2006,"Binkley, Mike",CA,36,3170,Libertarian
2006_CA_37,2006,"Millender-McDonald, Juanita",CA,37,80716,Democratic
2006_CA_37,2006,"Peters, Herb",CA,37,17246,Libertarian
2006_CA_38,2006,"Napolitano, Grace F.",CA,38,75181,Democratic
2006_CA_38,2006,"Street, Sidney W.",CA,38,24620,Republican
2006_CA_39,2006,"Sanchez, Linda T.",CA,39,72149,Democratic
2006_CA_39,2006,"Andion, James L.",CA,39,37384,Republican
2006_CA_40,2006,"Royce, Ed",CA,40,100995,Republican
2006_CA_40,2006,"Hoffman, Florice Orea",CA,40,46418,Democratic
2006_CA_40,2006,"Inman, Philip H.",CA,40,3876,Libertarian
2006_CA_41,2006,"Lewis, Jerry",CA,41,109761,Republican
2006_CA_41,2006,"Contreras, Louie A.",CA,41,54235,Democratic
2006_CA_41,2006,"Petersen, Carol",CA,41,48,Write-In
2006_CA_42,2006,"Miller, Gary G.",CA,42,129720,Republican
2006_CA_43,2006,"Baca, Joe",CA,43,52791,Democratic
2006_CA_43,2006,"Folkens, Scott",CA,43,29069,Republican
2006_CA_44,2006,"Calvert, Ken",CA,44,89555,Republican
2006_CA_44,2006,"Vandenberg, Louis",CA,44,55275,Democratic
2006_CA_44,2006,"Akin, Kevin",CA,44,4486,Peace and Freedom
2006_CA_45,2006,"Bono, Mary",CA,45,99638,Republican
2006_CA_45,2006,"Roth, David",CA,45,64613,Democratic
2006_CA_46,2006,"Rohrabacher, Dana",CA,46,116176,Republican
2006_CA_46,2006,"Brandt, Jim",CA,46,71573,Democratic
2006_CA_46,2006,"Chang, Dennis",CA,46,7303,Libertarian
2006_CA_47,2006,"Sanchez, Loretta",CA,47,47134,Democratic
2006_CA_47,2006,"Nguyen, Tan",CA,47,28485,Republican
2006_CA_48,2006,"Campbell, John",CA,48,120130,Republican
2006_CA_48,2006,"Young, Steve",CA,48,74647,Democratic
2006_CA_48,2006,"Cohen, Bruce",CA,48,5750,Libertarian
2006_CA_49,2006,"Issa, Darrell",CA,49,98831,Republican
2006_CA_49,2006,"Criscenzo, Jeeni",CA,49,52227,Democratic
2006_CA_49,2006,"Grossmith, Lars R.",CA,49,4952,Libertarian
2006_CA_49,2006,"Ford, Frank",CA,49,127,Write-In
2006_CA_50,2006,"Bilbray, Brian P.",CA,50,118018,Republican
2006_CA_50,2006,"Busby, Francine",CA,50,96612,Democratic
2006_CA_50,2006,"King, Paul",CA,50,4119,Libertarian
2006_CA_50,2006,"Clark, Miriam E.",CA,50,3353,Peace and Freedom
2006_CA_51,2006,"Filner, Bob",CA,51,78114,Democratic
2006_CA_51,2006,"Miles, Blake L.",CA,51,34931,Republican
2006_CA_51,2006,"Litwin, Dan",CA,51,2790,Libertarian
2006_CA_51,2006,"Arguello, David",CA,51,4,Write-In
2006_CA_52,2006,"Hunter, Duncan",CA,52,123696,Republican
2006_CA_52,2006,"Rinaldi, John",CA,52,61208,Democratic
2006_CA_52,2006,"Benoit, Michael",CA,52,6465,Libertarian
2006_CA_53,2006,"Davis, Susan A.",CA,53,97541,Democratic
2006_CA_53,2006,"Woodrum, John ""Woody""",CA,53,43312,Republican
2006_CA_53,2006,"Lippe, Ernie",CA,53,3534,Libertarian
2006_CO_01,2006,"DeGette, Diana L.",CO,01,129446,Democratic
2006_CO_01,2006,"Kelly, Thomas D.",CO,01,32825,Green
2006_CO_02,2006,"Udall, Mark",CO,02,157850,Democratic
2006_CO_02,2006,"Mancuso, Rich",CO,02,65481,Republican
2006_CO_02,2006,"Olsen, Norm",CO,02,5025,Libertarian
2006_CO_02,2006,"Calhoun, J.A.",CO,02,2951,Green
2006_CO_03,2006,"Salazar, John",CO,03,146488,Democratic
2006_CO_03,2006,"Tipton, Scott",CO,03,86930,Republican
2006_CO_03,2006,"Sargent, Bert L.",CO,03,4417,Libertarian
2006_CO_03,2006,"Lohmiller, Bruce E.",CO,03,23,Write-In
2006_CO_04,2006,"Musgrave, Marilyn N.",CO,04,109732,Republican
